 SOUID,    DATE,   FG, Q_FG
221729,19730902,   53,    0
221729,19730903,   44,    0
221729,19730904,   19,    0
221729,19730905,   29,    0
221729,19730906,   25,    0
221729,19730907,   16,    0
221729,19730908,   27,    0
221729,19730909,   22,    0
221729,19730910,   40,    0
221729,19730911,   26,    0
221729,19730912,   29,    0
221729,19730913,   49,    0
221729,19730914,   36,    0
221729,19730915,   35,    0
221729,19730916,   42,    0
221729,19730917,   31,    0
221729,19730918,   35,    0
221729,19730919,   66,    0
221729,19730920,   30,    0
221729,19730921,   76,    0
221729,19730922,   46,    0
221729,19730923,   37,    0
221729,19730924,   27,    0
221729,19730925,   32,    0
221729,19730926,   17,    0
221729,19730927,   30,    0
221729,19730928,   63,    0
221729,19730929,   64,    0
221729,19730930,   63,    0
221729,19731001,   28,    0
221729,19731002,   50,    0
221729,19731003,   48,    0
221729,19731004,   20,    0
221729,19731005,   15,    0
221729,19731006,   21,    0
221729,19731007,   33,    0
221729,19731008,   16,    0
221729,19731009,   53,    0
221729,19731010,   54,    0
221729,19731011,   35,    0
221729,19731012,   24,    0
221729,19731013,   32,    0
221729,19731014,   25,    0
221729,19731015,   27,    0
221729,19731016,   35,    0
221729,19731017,   42,    0
221729,19731018,   51,    0
221729,19731019,   80,    0
221729,19731020,   55,    0
221729,19731021,   76,    0
221729,19731022,   43,    0
221729,19731023,   47,    0
221729,19731024,   19,    0
221729,19731025,   17,    0
221729,19731026,   19,    0
221729,19731027,   27,    0
221729,19731028,   34,    0
221729,19731029,   19,    0
221729,19731030,   20,    0
221729,19731031,   39,    0
221729,19731101,   28,    0
221729,19731102,   19,    0
221729,19731103,   41,    0
221729,19731104,   39,    0
221729,19731105,   63,    0
221729,19731106,   51,    0
221729,19731107,   47,    0
221729,19731108,   57,    0
221729,19731109,   63,    0
221729,19731110,   71,    0
221729,19731111,   46,    0
221729,19731112,   80,    0
221729,19731113,   87,    0
221729,19731114,   50,    0
221729,19731115,   66,    0
221729,19731116,   56,    0
221729,19731117,   34,    0
221729,19731118,   26,    0
221729,19731119,   63,    0
221729,19731120,   25,    0
221729,19731121,   14,    0
221729,19731122,   27,    0
221729,19731123,   47,    0
221729,19731124,   90,    0
221729,19731125,   46,    0
221729,19731126,   45,    0
221729,19731127,   58,    0
221729,19731128,   46,    0
221729,19731129,   32,    0
221729,19731130,   46,    0
221729,19731201,   18,    0
221729,19731202,   23,    0
221729,19731203,   70,    0
221729,19731204,   52,    0
221729,19731205,   41,    0
221729,19731206,   76,    0
221729,19731207,   54,    0
221729,19731208,   64,    0
221729,19731209,   16,    0
221729,19731210,   32,    0
221729,19731211,   60,    0
221729,19731212,   63,    0
221729,19731213,   97,    0
221729,19731214,   90,    0
221729,19731215,   58,    0
221729,19731216,   87,    0
221729,19731217,   64,    0
221729,19731218,   43,    0
221729,19731219,   36,    0
221729,19731220,   48,    0
221729,19731221,   38,    0
221729,19731222,   55,    0
221729,19731223,   28,    0
221729,19731224,   24,    0
221729,19731225,   49,    0
221729,19731226,   38,    0
221729,19731227,   44,    0
221729,19731228,   42,    0
221729,19731229,   32,    0
221729,19731230,   43,    0
221729,19731231,   19,    0
221729,19740101,   35,    0
221729,19740102,   15,    0
221729,19740103,   35,    0
221729,19740104,   47,    0
221729,19740105,   55,    0
221729,19740106,   45,    0
221729,19740107,   55,    0
221729,19740108,   60,    0
221729,19740109,   42,    0
221729,19740110,   48,    0
221729,19740111,   71,    0
221729,19740112,   47,    0
221729,19740113,   64,    0
221729,19740114,   49,    0
221729,19740115,   84,    0
221729,19740116,   78,    0
221729,19740117,   93,    0
221729,19740118,   61,    0
221729,19740119,   48,    0
221729,19740120,   19,    0
221729,19740121,   23,    0
221729,19740122,   43,    0
221729,19740123,   56,    0
221729,19740124,   52,    0
221729,19740125,   36,    0
221729,19740126,   54,    0
221729,19740127,   57,    0
221729,19740128,   63,    0
221729,19740129,   44,    0
221729,19740130,   46,    0
221729,19740131,   39,    0
221729,19740201,   52,    0
221729,19740202,   52,    0
221729,19740203,   18,    0
221729,19740204,   41,    0
221729,19740205,   40,    0
221729,19740206,   66,    0
221729,19740207,   54,    0
221729,19740208,   64,    0
221729,19740209,  100,    0
221729,19740210,   78,    0
221729,19740211,   94,    0
221729,19740212,   58,    0
221729,19740213,   28,    0
221729,19740214,   49,    0
221729,19740215,   50,    0
221729,19740216,   34,    0
221729,19740217,    8,    0
221729,19740218,   27,    0
221729,19740219,   49,    0
221729,19740220,   39,    0
221729,19740221,   34,    0
221729,19740222,   31,    0
221729,19740223,   29,    0
221729,19740224,   19,    0
221729,19740225,   24,    0
221729,19740226,   32,    0
221729,19740227,   38,    0
221729,19740228,   14,    0
221729,19740301,   33,    0
221729,19740302,   42,    0
221729,19740303,   17,    0
221729,19740304,   22,    0
221729,19740305,   24,    0
221729,19740306,   16,    0
221729,19740307,   23,    0
221729,19740308,   51,    0
221729,19740309,   58,    0
221729,19740310,   37,    0
221729,19740311,   26,    0
221729,19740312,   30,    0
221729,19740313,   19,    0
221729,19740314,   28,    0
221729,19740315,   55,    0
221729,19740316,   85,    0
221729,19740317,   75,    0
221729,19740318,   77,    0
221729,19740319,   45,    0
221729,19740320,   28,    0
221729,19740321,   26,    0
221729,19740322,   52,    0
221729,19740323,   23,    0
221729,19740324,   26,    0
221729,19740325,   38,    0
221729,19740326,   17,    0
221729,19740327,   21,    0
221729,19740328,   11,    0
221729,19740329,   30,    0
221729,19740330,   17,    0
221729,19740331,   21,    0
221729,19740401,   22,    0
221729,19740402,   31,    0
221729,19740403,   35,    0
221729,19740404,   47,    0
221729,19740405,   55,    0
221729,19740406,   53,    0
221729,19740407,   42,    0
221729,19740408,   34,    0
221729,19740409,   32,    0
221729,19740410,   46,    0
221729,19740411,   40,    0
221729,19740412,   43,    0
221729,19740413,   67,    0
221729,19740414,   72,    0
221729,19740415,   57,    0
221729,19740416,   50,    0
221729,19740417,   37,    0
221729,19740418,   41,    0
221729,19740419,   23,    0
221729,19740420,   33,    0
221729,19740421,   46,    0
221729,19740422,   39,    0
221729,19740423,   40,    0
221729,19740424,   39,    0
221729,19740425,   43,    0
221729,19740426,   59,    0
221729,19740427,   57,    0
221729,19740428,   28,    0
221729,19740429,   50,    0
221729,19740430,   46,    0
221729,19740501,   46,    0
221729,19740502,   42,    0
221729,19740503,   39,    0
221729,19740504,   24,    0
221729,19740505,   54,    0
221729,19740506,   59,    0
221729,19740507,   28,    0
221729,19740508,    7,    0
221729,19740509,   24,    0
221729,19740510,   31,    0
221729,19740511,   37,    0
221729,19740512,   28,    0
221729,19740513,   24,    0
221729,19740514,   52,    0
221729,19740515,   21,    0
221729,19740516,   39,    0
221729,19740517,   32,    0
221729,19740518,   26,    0
221729,19740519,   27,    0
221729,19740520,   16,    0
221729,19740521,   39,    0
221729,19740522,   54,    0
221729,19740523,   25,    0
221729,19740524,   26,    0
221729,19740525,   26,    0
221729,19740526,   14,    0
221729,19740527,    8,    0
221729,19740528,   41,    0
221729,19740529,   33,    0
221729,19740530,   48,    0
221729,19740531,   29,    0
221729,19740601,   26,    0
221729,19740602,   35,    0
221729,19740603,   24,    0
221729,19740604,   15,    0
221729,19740605,   26,    0
221729,19740606,   62,    0
221729,19740607,   52,    0
221729,19740608,   41,    0
221729,19740609,   33,    0
221729,19740610,   29,    0
221729,19740611,   41,    0
221729,19740612,   41,    0
221729,19740613,   40,    0
221729,19740614,   24,    0
221729,19740615,   20,    0
221729,19740616,    8,    0
221729,19740617,   25,    0
221729,19740618,   40,    0
221729,19740619,   23,    0
221729,19740620,   11,    0
221729,19740621,   22,    0
221729,19740622,   17,    0
221729,19740623,   28,    0
221729,19740624,   24,    0
221729,19740625,   10,    0
221729,19740626,   21,    0
221729,19740627,   18,    0
221729,19740628,   11,    0
221729,19740629,   19,    0
221729,19740630,   32,    0
221729,19740701,   58,    0
221729,19740702,   29,    0
221729,19740703,   46,    0
221729,19740704,   50,    0
221729,19740705,   53,    0
221729,19740706,   51,    0
221729,19740707,   26,    0
221729,19740708,   24,    0
221729,19740709,   38,    0
221729,19740710,   37,    0
221729,19740711,   46,    0
221729,19740712,   25,    0
221729,19740713,   26,    0
221729,19740714,   33,    0
221729,19740715,   44,    0
221729,19740716,   46,    0
221729,19740717,   30,    0
221729,19740718,   27,    0
221729,19740719,   21,    0
221729,19740720,   29,    0
221729,19740721,   17,    0
221729,19740722,   42,    0
221729,19740723,   32,    0
221729,19740724,   34,    0
221729,19740725,   32,    0
221729,19740726,   36,    0
221729,19740727,   40,    0
221729,19740728,   44,    0
221729,19740729,   39,    0
221729,19740730,   21,    0
221729,19740731,   40,    0
221729,19740801,   35,    0
